Date,transactions3var
2019/04/28,1677768918
2019/04/29,733892698
2019/04/30,2281036233
2019/05/01,1313071276
2019/05/02,1406169895
2019/05/03,1008137585
2019/05/04,472260246
2019/05/05,396634962
2019/05/06,1306616734
2019/05/07,827998547
2019/05/08,390807101
2019/05/09,608291140
2019/05/10,422341731
2019/05/11,104204769
2019/05/12,130237217
2019/05/13,309929356
2019/05/14,2243423217
2019/05/15,1490643000
2019/05/16,1109381073
2019/05/17,1627212083
2019/05/18,5005307054
2019/05/19,1027835605
2019/05/20,3050604900
2019/05/21,1943689708
2019/05/22,676505444
2019/05/23,614689272
2019/05/24,548740158
2019/05/25,826978798
2019/05/26,3320788229
2019/05/27,5353174000
2019/05/28,6069339556
2019/05/29,263750451
2019/05/30,533962385
2019/05/31,1049516406
2019/06/01,1340489480
2019/06/02,1350535289
2019/06/03,991289582
2019/06/04,1422688
